Jaartal,Postcode,"Nederlandse
achtergond","Westerse
migratie
achtergrond","Niet-westerse
migratie
achtergrond"
2020,3258,90,10,0
2020,3261,90,10,10
2020,3262,90,10,0
2020,3263,90,10,0
2020,3264,90,0,0
2020,3265,90,10,0
2020,3267,90,0,0
2020,3271,90,10,0
2020,3273,90,10,0
2020,3274,90,0,10
2020,3281,90,10,0
2020,3284,90,10,0
2020,3286,90,0,0
2020,3291,90,10,0
2020,3292,90,0,0
2020,3293,90,0,0
2020,3295,90,0,0
2020,3297,90,10,0
2020,3299,90,10,0
2020,3311,70,10,20
2020,3312,70,10,20
2020,3313,60,20,20
2020,3314,60,10,30
2020,3315,80,10,10
2020,3316,90,10,10
2020,3317,50,10,30
2020,3318,70,10,20
2020,3319,90,10,10
2020,3328,80,10,10
2020,3329,90,10,10
2020,3331,70,10,20
2020,3332,80,10,10
2020,3333,70,10,20
2020,3334,80,10,10
2020,3335,90,10,10
2020,3341,90,10,10
2020,3342,90,10,10
2020,3343,90,10,10
2020,3344,80,10,10
2020,3351,80,10,10
2020,3352,80,10,10
2020,3353,70,10,20
2020,3354,80,10,10
2020,3355,90,10,10
2020,3356,80,10,10
2020,3361,90,0,10
2020,3362,80,10,10
2020,3363,90,0,10
2020,3364,90,0,0
2020,3366,100,0,0
2020,3371,90,0,0
2020,3372,90,0,0
2020,3373,90,0,0
2020,3381,90,0,0
2020,3401,90,10,10
2020,3402,70,10,20
2020,3403,90,10,0
2020,3404,80,10,20
2020,3405,90,0,0
2020,3411,90,0,10
2020,3412,90,10,0
2020,3413,90,0,0
2020,3415,90,0,0
2020,3417,90,10,0
2020,3421,90,0,0
2020,3425,100,0,0
2020,3431,60,10,30
2020,3432,70,10,20
2020,3433,90,10,10
2020,3434,80,10,10
2020,3435,70,10,10
2020,3436,70,10,20
2020,3437,80,10,10
2020,3438,70,10,20
2020,3439,70,10,20
2020,3441,80,10,10
2020,3442,80,10,10
2020,3443,80,10,10
2020,3445,80,10,10
2020,3446,90,10,10
2020,3448,80,10,10
2020,3449,90,10,0
2020,3451,80,10,10
2020,3452,70,10,20
2020,3453,70,10,20
2020,3454,80,10,10
2020,3455,90,10,0
2020,3461,90,0,10
2020,3464,90,0,0
2020,3465,90,0,0
2020,3466,90,0,0
2020,3467,90,10,0
2020,3471,90,0,0
2020,3474,90,10,0
2020,3481,90,10,0
2020,3511,70,20,10
2020,3512,70,20,10
2020,3513,70,10,20
2020,3514,70,20,10
2020,3515,70,10,20
2020,3521,70,10,20
2020,3522,70,10,20
2020,3523,70,10,20
2020,3524,70,10,20
2020,3525,60,10,30
2020,3526,40,10,50
2020,3527,40,10,50
2020,3531,60,10,20
2020,3532,70,10,20
2020,3533,70,10,20
2020,3534,80,10,10
2020,3541,60,10,30
2020,3542,70,10,20
2020,3543,50,10,30
2020,3544,60,10,30
2020,3545,60,0,40
2020,3546,90,10,10
2020,3551,70,10,20
2020,3552,70,10,20
2020,3553,70,10,10
2020,3554,50,10,40
2020,3555,60,10,30
2020,3561,40,10,50
2020,3562,40,10,50
2020,3563,50,10,40
2020,3564,30,10,60
2020,3565,60,20,20
2020,3566,90,10,10
2020,3571,80,10,10
2020,3572,80,20,10
2020,3573,80,10,10
2020,3581,80,20,10
2020,3582,80,10,10
2020,3583,80,10,10
2020,3584,60,30,10
2020,3585,80,20,10
2020,3601,80,10,10
2020,3602,90,10,0
2020,3603,90,10,0
2020,3604,90,10,10
2020,3605,70,10,20
2020,3606,60,10,30
